HomeTeam,AwayTeam
Newcastle,Fulham
West Brom,Sunderland
West Ham,Bolton
Blackburn,Man United
Liverpool,Everton
Man City,Tottenham
Birmingham,Everton
Bolton,Newcastle
Chelsea,Southampton
Liverpool,Blackburn
Man City,Aston Villa
Middlesboro,Man United
Sunderland,Leeds
Tottenham,Charlton
West Brom,Arsenal
West Ham,Fulham
Aston Villa,Middlesboro
Blackburn,West Ham
Charlton,West Brom
Everton,Bolton
Fulham,Man City
Leeds,Chelsea
Man United,Birmingham
Southampton,Sunderland
Arsenal,Liverpool
Newcastle,Tottenham
Arsenal,Chelsea
Aston Villa,Bolton
Blackburn,Middlesboro
Everton,Man City
Leeds,Birmingham
Man United,Sunderland
Newcastle,Liverpool
Southampton,Tottenham
Bolton,Fulham
Chelsea,Charlton
Liverpool,Aston Villa
Man City,Leeds
Middlesboro,Southampton
Sunderland,Blackburn
West Brom,Man United
West Ham,Newcastle
Birmingham,Arsenal
Tottenham,Everton
Aston Villa,Tottenham
Blackburn,Birmingham
Charlton,Bolton
Everton,Sunderland
Leeds,West Brom
Man United,Chelsea
Newcastle,Man City
Southampton,Liverpool
Arsenal,West Ham
Fulham,Middlesboro
Charlton,West Ham
Newcastle,Bolton
Bolton,Everton
Chelsea,Leeds
Middlesboro,Aston Villa
Sunderland,Southampton
Liverpool,Arsenal
Man City,Fulham
Tottenham,Newcastle
West Brom,Charlton
West Ham,Blackburn
Arsenal,Fulham
Bolton,Birmingham
Chelsea,Tottenham
Everton,Leeds
Man City,West Brom
Southampton,Man United
Sunderland,Charlton
Aston Villa,Blackburn
West Ham,Liverpool
Birmingham,Man United
Birmingham,Chelsea
Blackburn,Southampton
Charlton,Everton
Fulham,Aston Villa
Leeds,West Ham
Liverpool,Middlesboro
Tottenham,Sunderland
West Brom,Bolton
Man United,Man City
Newcastle,Arsenal
Fulham,West Brom
Bolton,Man United
Charlton,Aston Villa
Chelsea,Blackburn
Everton,Southampton
Leeds,Newcastle
Man City,Arsenal
Sunderland,Middlesboro
Birmingham,Liverpool
West Brom,West Ham
Tottenham,Fulham
Blackburn,Man City
Fulham,Sunderland
Middlesboro,Everton
Newcastle,Chelsea
Southampton,West Brom
West Ham,Tottenham
Arsenal,Charlton
Aston Villa,Birmingham
Man United,Leeds
Middlesboro,Newcastle
Liverpool,Bolton
Aston Villa,Man United
Blackburn,Arsenal
Charlton,Newcastle
Everton,West Ham
Fulham,Southampton
Leeds,Middlesboro
Sunderland,Bolton
Man City,Birmingham
Tottenham,Liverpool
West Brom,Chelsea
Birmingham,West Brom
Chelsea,Man City
Man United,Fulham
Middlesboro,Charlton
Newcastle,Blackburn
Southampton,Aston Villa
West Ham,Sunderland
Arsenal,Everton
Liverpool,Leeds
Bolton,Tottenham
Aston Villa,Arsenal
Bolton,Man City
Charlton,Leeds
Man United,Liverpool
Middlesboro,West Brom
Southampton,West Ham
Sunderland,Chelsea
Tottenham,Birmingham
Everton,Newcastle
Fulham,Blackburn
Birmingham,Sunderland
Blackburn,Charlton
Chelsea,Bolton
Leeds,Tottenham
Liverpool,Fulham
Man City,Middlesboro
Newcastle,Man United
West Brom,Everton
West Ham,Aston Villa
Arsenal,Man United
Tottenham,Man City
Aston Villa,Chelsea
Bolton,West Ham
Charlton,Birmingham
Everton,Liverpool
Fulham,Newcastle
Man United,Blackburn
Middlesboro,Arsenal
Southampton,Leeds
Sunderland,West Brom
Birmingham,Southampton
Blackburn,Bolton
Chelsea,Everton
Liverpool,Charlton
Man City,Sunderland
Newcastle,Aston Villa
West Brom,Tottenham
West Ham,Middlesboro
Leeds,Fulham
Birmingham,Middlesboro
Bolton,Arsenal
Charlton,Southampton
Chelsea,Fulham
Everton,Aston Villa
Leeds,Blackburn
Sunderland,Newcastle
West Brom,Liverpool
Man City,West Ham
Tottenham,Man United
Aston Villa,Sunderland
Blackburn,West Brom
Fulham,Everton
Liverpool,Man City
Man United,Charlton
Middlesboro,Tottenham
Newcastle,Birmingham
Southampton,Bolton
West Ham,Chelsea
Arsenal,Leeds
Arsenal,Southampton
Birmingham,West Ham
Bolton,Middlesboro
Charlton,Fulham
Chelsea,Liverpool
Everton,Man United
Leeds,Aston Villa
Man City,Southampton
Sunderland,Arsenal
Tottenham,Blackburn
West Brom,Newcastle
Arsenal,Everton
Birmingham,Tottenham
Blackburn,Wolves
Fulham,Middlesbrough
Leicester,Southampton
Man United,Bolton
Portsmouth,Aston Villa
Charlton,Man City
Leeds,Newcastle
Liverpool,Chelsea
Bolton,Blackburn
Chelsea,Leicester
Everton,Fulham
Man City,Portsmouth
Newcastle,Man United
Southampton,Birmingham
Tottenham,Leeds
Wolves,Charlton
Aston Villa,Liverpool
Middlesbrough,Arsenal
Blackburn,Man City
Charlton,Everton
Leeds,Southampton
Leicester,Middlesbrough
Portsmouth,Bolton
Arsenal,Aston Villa
Liverpool,Tottenham
Man United,Wolves
Aston Villa,Leicester
Bolton,Charlton
Chelsea,Blackburn
Everton,Liverpool
Middlesbrough,Leeds
Newcastle,Birmingham
Tottenham,Fulham
Wolves,Portsmouth
Man City,Arsenal
Southampton,Man United
Arsenal,Portsmouth
Blackburn,Liverpool
Bolton,Middlesbrough
Charlton,Man United
